date,data_block_id,county,is_business,product_type,eic_count,installed_capacity
2021/9/1,2,0,0,1,108,952.89
2021/9/1,2,0,0,2,17,166.4
2021/9/1,2,0,0,3,688,7207.88
2021/9/1,2,0,1,0,5,400.0
2021/9/1,2,0,1,1,43,1411.0
2021/9/1,2,0,1,3,265,13417.79
2021/9/1,2,1,0,1,7,80.0
2021/9/1,2,1,0,3,42,472.6
2021/9/1,2,1,1,3,12,295.5
2021/9/1,2,2,0,3,33,414.5
2021/9/1,2,2,1,3,22,581.5
2021/9/1,2,3,0,1,16,179.9
2021/9/1,2,3,0,3,47,677.03
2021/9/1,2,3,1,1,12,263.9
2021/9/1,2,3,1,3,38,2268.7
2021/9/1,2,4,0,1,9,72.2
2021/9/1,2,4,0,3,45,568.3
2021/9/1,2,4,1,0,10,855.0
2021/9/1,2,4,1,3,28,1084.0
2021/9/1,2,5,0,1,24,289.8
2021/9/1,2,5,0,3,89,1105.3
2021/9/1,2,5,1,0,5,1160.0
2021/9/1,2,5,1,1,6,205.2
2021/9/1,2,5,1,3,65,2203.0
2021/9/1,2,6,1,3,6,324.2
2021/9/1,2,7,0,1,31,334.8
2021/9/1,2,7,0,2,5,50.5
2021/9/1,2,7,0,3,147,1832.56
2021/9/1,2,7,1,0,14,2018.6
2021/9/1,2,7,1,1,11,503.6
2021/9/1,2,7,1,3,37,1227.1
2021/9/1,2,8,0,1,11,83.0
2021/9/1,2,8,0,3,58,722.18
2021/9/1,2,8,1,3,17,751.7
2021/9/1,2,9,0,1,20,247.9
2021/9/1,2,9,0,3,89,1119.42
2021/9/1,2,9,1,1,11,324.0
2021/9/1,2,9,1,3,19,523.08
2021/9/1,2,10,0,1,19,240.7
2021/9/1,2,10,0,3,111,1368.0
2021/9/1,2,10,1,1,9,239.5
2021/9/1,2,10,1,2,5,121.5
2021/9/1,2,10,1,3,48,1852.9
2021/9/1,2,11,0,1,39,384.3
2021/9/1,2,11,0,2,8,107.5
2021/9/1,2,11,0,3,247,2965.27
2021/9/1,2,11,1,1,21,822.0
2021/9/1,2,11,1,2,8,105.0
2021/9/1,2,11,1,3,108,5523.4
2021/9/1,2,12,1,3,9,241.5
2021/9/1,2,13,0,1,10,118.2
2021/9/1,2,13,0,3,42,613.4
2021/9/1,2,13,1,3,29,1152.9
2021/9/1,2,14,0,1,18,260.0
2021/9/1,2,14,0,3,105,1423.36
2021/9/1,2,14,1,1,17,505.1
2021/9/1,2,14,1,3,67,3114.6
2021/9/1,2,15,0,1,10,83.2
2021/9/1,2,15,0,3,61,918.2
2021/9/1,2,15,1,1,7,325.0
2021/9/1,2,15,1,3,49,1778.7
2021/9/2,3,0,0,1,108,952.89
2021/9/2,3,0,0,2,17,166.4
2021/9/2,3,0,0,3,688,7207.88
2021/9/2,3,0,1,0,5,400.0
2021/9/2,3,0,1,1,43,1411.0
2021/9/2,3,0,1,3,265,13417.79
2021/9/2,3,1,0,1,7,80.0
2021/9/2,3,1,0,3,42,472.6
2021/9/2,3,1,1,3,12,295.5
2021/9/2,3,2,0,3,33,414.5
2021/9/2,3,2,1,3,22,581.5
2021/9/2,3,3,0,1,16,179.9
2021/9/2,3,3,0,3,47,677.03
2021/9/2,3,3,1,1,12,263.9
2021/9/2,3,3,1,3,38,2268.7
2021/9/2,3,4,0,1,9,72.2
2021/9/2,3,4,0,3,45,568.3
2021/9/2,3,4,1,0,10,855.0
2021/9/2,3,4,1,3,28,1084.0
2021/9/2,3,5,0,1,24,289.8
2021/9/2,3,5,0,3,89,1105.3
2021/9/2,3,5,1,0,5,1160.0
2021/9/2,3,5,1,1,6,205.2
2021/9/2,3,5,1,3,65,2203.0
2021/9/2,3,6,1,3,6,324.2
2021/9/2,3,7,0,1,31,334.8
2021/9/2,3,7,0,2,5,50.5
2021/9/2,3,7,0,3,147,1832.56
2021/9/2,3,7,1,0,14,2018.6
2021/9/2,3,7,1,1,11,503.6
2021/9/2,3,7,1,3,37,1227.1
2021/9/2,3,8,0,1,11,83.0
2021/9/2,3,8,0,3,58,722.18
2021/9/2,3,8,1,3,17,751.7
2021/9/2,3,9,0,1,20,247.9
2021/9/2,3,9,0,3,89,1119.42
2021/9/2,3,9,1,1,11,324.0
2021/9/2,3,9,1,3,19,523.08
2021/9/2,3,10,0,1,19,240.7
2021/9/2,3,10,0,3,111,1368.0
2021/9/2,3,10,1,1,9,239.5
2021/9/2,3,10,1,2,5,121.5
2021/9/2,3,10,1,3,48,1852.9
2021/9/2,3,11,0,1,39,384.3
2021/9/2,3,11,0,2,8,107.5
2021/9/2,3,11,0,3,247,2965.27
2021/9/2,3,11,1,1,21,822.0
2021/9/2,3,11,1,2,8,105.0
2021/9/2,3,11,1,3,108,5523.4
2021/9/2,3,12,1,3,9,241.5
2021/9/2,3,13,0,1,10,118.2
2021/9/2,3,13,0,3,42,613.4
2021/9/2,3,13,1,3,29,1152.9
2021/9/2,3,14,0,1,18,260.0
2021/9/2,3,14,0,3,105,1423.36
2021/9/2,3,14,1,1,17,505.1
2021/9/2,3,14,1,3,67,3114.6
2021/9/2,3,15,0,1,10,83.2
2021/9/2,3,15,0,3,61,918.2
2021/9/2,3,15,1,1,7,325.0
2021/9/2,3,15,1,3,49,1778.7
2021/9/3,4,0,0,1,108,952.89
2021/9/3,4,0,0,2,17,166.4
2021/9/3,4,0,0,3,688,7207.88
2021/9/3,4,0,1,0,5,400.0
2021/9/3,4,0,1,1,43,1411.0
2021/9/3,4,0,1,3,265,13417.79
2021/9/3,4,1,0,1,7,80.0
2021/9/3,4,1,0,3,42,472.6
2021/9/3,4,1,1,3,12,295.5
2021/9/3,4,2,0,3,33,414.5
2021/9/3,4,2,1,3,22,581.5
2021/9/3,4,3,0,1,16,179.9
2021/9/3,4,3,0,3,47,677.03
2021/9/3,4,3,1,1,12,263.9
2021/9/3,4,3,1,3,38,2268.7
2021/9/3,4,4,0,1,9,72.2
2021/9/3,4,4,0,3,45,568.3
2021/9/3,4,4,1,0,10,855.0
2021/9/3,4,4,1,3,28,1084.0
2021/9/3,4,5,0,1,24,289.8
2021/9/3,4,5,0,3,89,1105.3
2021/9/3,4,5,1,0,5,1160.0
2021/9/3,4,5,1,1,6,205.2
2021/9/3,4,5,1,3,65,2203.0
2021/9/3,4,6,1,3,6,324.2
2021/9/3,4,7,0,1,31,334.8
2021/9/3,4,7,0,2,5,50.5
2021/9/3,4,7,0,3,147,1832.56
2021/9/3,4,7,1,0,14,2018.6
2021/9/3,4,7,1,1,11,503.6
2021/9/3,4,7,1,3,37,1227.1
2021/9/3,4,8,0,1,11,83.0
2021/9/3,4,8,0,3,58,722.18
2021/9/3,4,8,1,3,17,751.7
2021/9/3,4,9,0,1,20,247.9
2021/9/3,4,9,0,3,89,1119.42
2021/9/3,4,9,1,1,11,324.0
2021/9/3,4,9,1,3,19,523.08
2021/9/3,4,10,0,1,19,240.7
2021/9/3,4,10,0,3,111,1368.0
2021/9/3,4,10,1,1,9,239.5
2021/9/3,4,10,1,2,5,121.5
2021/9/3,4,10,1,3,48,1852.9
2021/9/3,4,11,0,1,39,384.3
2021/9/3,4,11,0,2,8,107.5
2021/9/3,4,11,0,3,247,2965.27
2021/9/3,4,11,1,1,21,822.0
2021/9/3,4,11,1,2,8,105.0
2021/9/3,4,11,1,3,108,5523.4
2021/9/3,4,12,1,3,9,241.5
2021/9/3,4,13,0,1,10,118.2
2021/9/3,4,13,0,3,42,613.4
2021/9/3,4,13,1,3,29,1152.9
2021/9/3,4,14,0,1,18,260.0
2021/9/3,4,14,0,3,105,1423.36
2021/9/3,4,14,1,1,17,505.1
2021/9/3,4,14,1,3,67,3114.6
2021/9/3,4,15,0,1,10,83.2
2021/9/3,4,15,0,3,61,918.2
2021/9/3,4,15,1,1,7,325.0
2021/9/3,4,15,1,3,49,1778.7
2021/9/4,5,0,0,1,108,952.89
2021/9/4,5,0,0,2,17,166.4
2021/9/4,5,0,0,3,688,7207.88
2021/9/4,5,0,1,0,5,400.0
2021/9/4,5,0,1,1,43,1411.0
2021/9/4,5,0,1,3,265,13417.79
2021/9/4,5,1,0,1,7,80.0
2021/9/4,5,1,0,3,42,472.6
2021/9/4,5,1,1,3,12,295.5
2021/9/4,5,2,0,3,33,414.5
2021/9/4,5,2,1,3,22,581.5
2021/9/4,5,3,0,1,16,179.9
2021/9/4,5,3,0,3,47,677.03
2021/9/4,5,3,1,1,12,263.9
2021/9/4,5,3,1,3,38,2268.7
2021/9/4,5,4,0,1,9,72.2
2021/9/4,5,4,0,3,45,568.3
2021/9/4,5,4,1,0,10,855.0
2021/9/4,5,4,1,3,28,1084.0
2021/9/4,5,5,0,1,24,289.8
2021/9/4,5,5,0,3,89,1105.3
2021/9/4,5,5,1,0,5,1160.0
2021/9/4,5,5,1,1,6,205.2
2021/9/4,5,5,1,3,65,2203.0
2021/9/4,5,6,1,3,6,324.2
2021/9/4,5,7,0,1,31,334.8
2021/9/4,5,7,0,2,5,50.5
2021/9/4,5,7,0,3,147,1832.56
2021/9/4,5,7,1,0,14,2018.6
2021/9/4,5,7,1,1,11,503.6
2021/9/4,5,7,1,3,37,1227.1
2021/9/4,5,8,0,1,11,83.0
2021/9/4,5,8,0,3,58,722.18
2021/9/4,5,8,1,3,17,751.7
2021/9/4,5,9,0,1,20,247.9
2021/9/4,5,9,0,3,89,1119.42
2021/9/4,5,9,1,1,11,324.0
2021/9/4,5,9,1,3,19,523.08
2021/9/4,5,10,0,1,19,240.7
2021/9/4,5,10,0,3,111,1368.0
2021/9/4,5,10,1,1,9,239.5
2021/9/4,5,10,1,2,5,121.5
2021/9/4,5,10,1,3,48,1852.9
2021/9/4,5,11,0,1,39,384.3
2021/9/4,5,11,0,2,8,107.5
2021/9/4,5,11,0,3,247,2965.27
2021/9/4,5,11,1,1,21,822.0
2021/9/4,5,11,1,2,8,105.0
2021/9/4,5,11,1,3,108,5523.4
2021/9/4,5,12,1,3,9,241.5
2021/9/4,5,13,0,1,10,118.2
2021/9/4,5,13,0,3,42,613.4
2021/9/4,5,13,1,3,29,1152.9
2021/9/4,5,14,0,1,18,260.0
2021/9/4,5,14,0,3,105,1423.36
2021/9/4,5,14,1,1,17,505.1
2021/9/4,5,14,1,3,67,3114.6
2021/9/4,5,15,0,1,10,83.2
2021/9/4,5,15,0,3,61,918.2
2021/9/4,5,15,1,1,7,325.0
2021/9/4,5,15,1,3,49,1778.7
2021/9/5,6,0,0,1,108,952.89
2021/9/5,6,0,0,2,17,166.4
2021/9/5,6,0,0,3,687,7199.88
2021/9/5,6,0,1,0,5,400.0
2021/9/5,6,0,1,1,43,1411.0
2021/9/5,6,0,1,3,265,13417.79
2021/9/5,6,1,0,1,7,80.0
2021/9/5,6,1,0,3,42,472.6
2021/9/5,6,1,1,3,12,295.5
2021/9/5,6,2,0,3,33,414.5
2021/9/5,6,2,1,3,22,581.5
2021/9/5,6,3,0,1,16,179.9
2021/9/5,6,3,0,3,47,677.03
2021/9/5,6,3,1,1,12,263.9
2021/9/5,6,3,1,3,38,2268.7
2021/9/5,6,4,0,1,9,72.2
2021/9/5,6,4,0,3,45,568.3
2021/9/5,6,4,1,0,10,855.0
2021/9/5,6,4,1,3,28,1084.0
2021/9/5,6,5,0,1,24,289.8
2021/9/5,6,5,0,3,89,1105.3
2021/9/5,6,5,1,0,5,1160.0
2021/9/5,6,5,1,1,6,205.2
2021/9/5,6,5,1,3,65,2203.0
2021/9/5,6,6,1,3,6,324.2
2021/9/5,6,7,0,1,31,334.8
2021/9/5,6,7,0,2,5,50.5
2021/9/5,6,7,0,3,147,1832.56
2021/9/5,6,7,1,0,14,2018.6
2021/9/5,6,7,1,1,11,503.6
2021/9/5,6,7,1,3,37,1227.1
2021/9/5,6,8,0,1,11,83.0
2021/9/5,6,8,0,3,58,722.18
2021/9/5,6,8,1,3,17,751.7
2021/9/5,6,9,0,1,20,247.9
2021/9/5,6,9,0,3,89,1119.42
2021/9/5,6,9,1,1,11,324.0
2021/9/5,6,9,1,3,19,523.08
2021/9/5,6,10,0,1,19,240.7
2021/9/5,6,10,0,3,111,1368.0
2021/9/5,6,10,1,1,9,239.5
2021/9/5,6,10,1,2,5,121.5
2021/9/5,6,10,1,3,48,1852.9
2021/9/5,6,11,0,1,39,384.3
2021/9/5,6,11,0,2,8,107.5
2021/9/5,6,11,0,3,247,2965.27
2021/9/5,6,11,1,1,21,822.0
2021/9/5,6,11,1,2,8,105.0
2021/9/5,6,11,1,3,108,5523.4
2021/9/5,6,12,1,3,9,241.5
2021/9/5,6,13,0,1,10,118.2
2021/9/5,6,13,0,3,42,613.4
2021/9/5,6,13,1,3,29,1152.9
2021/9/5,6,14,0,1,18,260.0
2021/9/5,6,14,0,3,105,1423.36
2021/9/5,6,14,1,1,17,505.1
2021/9/5,6,14,1,3,67,3114.6
2021/9/5,6,15,0,1,10,83.2
2021/9/5,6,15,0,3,61,918.2
2021/9/5,6,15,1,1,7,325.0
2021/9/5,6,15,1,3,49,1778.7
2021/9/6,7,0,0,1,108,952.89
2021/9/6,7,0,0,2,17,166.4
2021/9/6,7,0,0,3,687,7199.88
2021/9/6,7,0,1,0,5,400.0
2021/9/6,7,0,1,1,43,1411.0
2021/9/6,7,0,1,3,265,13417.79
2021/9/6,7,1,0,1,7,80.0
2021/9/6,7,1,0,3,42,472.6
2021/9/6,7,1,1,3,12,295.5
2021/9/6,7,2,0,3,33,414.5
2021/9/6,7,2,1,3,22,581.5
2021/9/6,7,3,0,1,16,179.9
2021/9/6,7,3,0,3,47,677.03
2021/9/6,7,3,1,1,12,263.9
2021/9/6,7,3,1,3,38,2268.7
2021/9/6,7,4,0,1,9,72.2
2021/9/6,7,4,0,3,45,568.3
2021/9/6,7,4,1,0,10,855.0
2021/9/6,7,4,1,3,28,1084.0
2021/9/6,7,5,0,1,24,289.8
2021/9/6,7,5,0,3,89,1105.3
2021/9/6,7,5,1,0,5,1160.0
