county_name,longitude,latitude,county
,21.7,57.6,
,21.7,57.9,
,21.7,58.2,
,21.7,58.5,
,21.7,58.8,
,21.7,59.1,
,21.7,59.4,
,21.7,59.7,
,22.2,57.6,
,22.2,57.9,
Saaremaa,22.2,58.2,10
Saaremaa,22.2,58.5,10
,22.2,58.8,
,22.2,59.1,
,22.2,59.4,
,22.2,59.7,
,22.7,57.6,
,22.7,57.9,
,22.7,58.2,
Saaremaa,22.7,58.5,10
Hiiumaa,22.7,58.8,1
,22.7,59.1,
,22.7,59.4,
,22.7,59.7,
,23.2,57.6,
,23.2,57.9,
,23.2,58.2,
Saaremaa,23.2,58.5,10
,23.2,58.8,
,23.2,59.1,
,23.2,59.4,
,23.2,59.7,
,23.7,57.6,
,23.7,57.9,
,23.7,58.2,
Pärnumaa,23.7,58.5,7
Läänemaa,23.7,58.8,6
Läänemaa,23.7,59.1,6
,23.7,59.4,
,23.7,59.7,
,24.2,57.6,
,24.2,57.9,
,24.2,58.2,
Pärnumaa,24.2,58.5,7
Raplamaa,24.2,58.8,9
Harjumaa,24.2,59.1,0
Harjumaa,24.2,59.4,0
,24.2,59.7,
,24.7,57.6,
,24.7,57.9,
Pärnumaa,24.7,58.2,7
Pärnumaa,24.7,58.5,7
Raplamaa,24.7,58.8,9
Raplamaa,24.7,59.1,9
Harjumaa,24.7,59.4,0
,24.7,59.7,
,25.2,57.6,
,25.2,57.9,
Pärnumaa,25.2,58.2,7
Viljandimaa,25.2,58.5,14
Järvamaa,25.2,58.8,3
Harjumaa,25.2,59.1,0
Harjumaa,25.2,59.4,0
,25.2,59.7,
,25.7,57.6,
,25.7,57.9,
Viljandimaa,25.7,58.2,14
Viljandimaa,25.7,58.5,14
Järvamaa,25.7,58.8,3
Järvamaa,25.7,59.1,3
Harjumaa,25.7,59.4,0
,25.7,59.7,
,26.2,57.6,
Valgamaa,26.2,57.9,13
Tartumaa,26.2,58.2,11
Jõgevamaa,26.2,58.5,4
Jõgevamaa,26.2,58.8,4
Lääne-Virumaa,26.2,59.1,5
Lääne-Virumaa,26.2,59.4,5
,26.2,59.7,
Võrumaa,26.7,57.6,15
Võrumaa,26.7,57.9,15
Tartumaa,26.7,58.2,11
Tartumaa,26.7,58.5,11
Jõgevamaa,26.7,58.8,4
Lääne-Virumaa,26.7,59.1,5
Lääne-Virumaa,26.7,59.4,5
,26.7,59.7,
Võrumaa,27.2,57.6,15
Võrumaa,27.2,57.9,15
Põlvamaa,27.2,58.2,8
Tartumaa,27.2,58.5,11
,27.2,58.8,
Ida-Virumaa,27.2,59.1,2
Ida-Virumaa,27.2,59.4,2
,27.2,59.7,
,27.7,57.6,
Võrumaa,27.7,57.9,15
,27.7,58.2,
,27.7,58.5,
,27.7,58.8,
Ida-Virumaa,27.7,59.1,2
Ida-Virumaa,27.7,59.4,2
,27.7,59.7,
,28.2,57.6,
,28.2,57.9,
,28.2,58.2,
,28.2,58.5,
,28.2,58.8,
,28.2,59.1,
,28.2,59.4,
,28.2,59.7,
